R_in_CGS,V_in_CGS,Modes,Bo,We,Oh,Alpha Coefficient of restitution,Center Coefficient of restitution,Contact time ND,Contact time CGS,Min north pole height ND,Min north pole height CGS,Time min north pole height ND,Time min north pole height CGS,Max radius ND,Max radius CGS,Time of max radius ND,Time of max radius CGS,Max contact radius ND,Max contact radius CGS,Time max contact radius ND,Time max contact radius CGS,Max radial projection ND,Max radial projection CGS,Time max radial projection ND,Time max radial projection CGS,Min side height ND,Min side height CGS,Time min side height ND,Time min side height CGS
0.02,0.6000000000000001,20,0,0.0001,0,0.9356220382057789,0.9356220382057789,5.087352281292708,0.0016957840937642363,1.9793869446463088,0.039587738892926175,2.164647994741684,0.0007215493315805614,1.0021414900659775,0.02004282980131955,2.2977910261642878,0.0007659303420547627,0.19151605695901613,0.003830321139180323,0.6871898396005347,0.00022906327986684492,0.9991833912515087,0.019983667825030173,2.224777105706731,0.0007415923685689104,1.9825787670389783,0.039651575340779566,2.460998613069415,0.0008203328710231384
0.02,1.8973665961010278,20,0,0.001,0,0.9356201717973402,0.9356201717973404,4.030797902906886,0.0013435993009689622,1.9496738562754032,0.03899347712550807,1.69649991651382,0.0005654999721712734,1.0067718717040126,0.020135437434080253,1.8296429479364236,0.0006098809826454746,0.1915151130009638,0.003830302260019276,0.21904176137267042,7.301392045755681e-05,1.0037583932179155,0.02007516786435831,1.7523340909813634,0.0005841113636604545,1.9597671541231707,0.03919534308246341,1.9928505348415504,0.0006642835116138502
0.02,6.0,20,0,0.01,0,0.963815566006993,0.963815566006993,3.4982257772164718,0.0011660752590721573,1.85595200470473,0.0371190400940946,1.74803915448386,0.0005826797181612867,1.024287621967476,0.020485752439349518,1.6793201705238066,0.0005597733901746022,0.3276344729314361,0.006552689458628722,0.8589872995006683,0.0002863290998335561,1.0212743703416618,0.020425487406833236,1.623485996056263,0.0005411619986854211,1.8920023592906337,0.03784004718581267,1.7308594084938467,0.0005769531361646157
0.02,26.832815729997478,20,0,0.2,0,0.9427228229692254,0.9427228229692254,2.6521232872083136,0.0008840410957361046,1.3656231493237048,0.027312462986474096,1.2498265207734724,0.0004166088402578242,1.1351742293369746,0.022703484586739493,1.370084742703566,0.0004566949142345221,0.5992039522597481,0.011984079045194962,1.9541961063640203,0.0006513987021213402,1.131845383284996,0.02263690766569992,1.370084742703566,0.0004566949142345221,1.6953357943680762,0.03390671588736153,1.181107536813419,0.0003937025122711397
0.02,37.94733192202055,20,0,0.4,0,0.912400157132885,0.912400157132885,2.4975055732981932,0.0008325018577660645,1.1082778445786003,0.022165556891572007,1.155337917828399,0.000385112639276133,1.1927858441608792,0.023855716883217585,1.0093100769132852,0.00033643669230442843,0.7285055413318502,0.014570110826637004,0.528277189192911,0.00017609239639763703,1.1892880547065587,0.023785761094131174,1.0093100769132852,0.00033643669230442843,1.6385492893945561,0.03277098578789112,1.0350796958983053,0.00034502656529943515
0.02,46.475800154489,20,0,0.6,0,0.8828411454160385,0.8828411454160385,2.407311906850623,0.0008024373022835411,0.9004935119658801,0.0180098702393176,1.0866189338683454,0.0003622063112894485,1.2368437847877745,0.02473687569575549,0.9835404579282652,0.00032784681930942176,0.7531007550526885,0.01506201510105377,0.365069602287784,0.00012168986742926135,1.2332167974553452,0.024664335949106903,0.9835404579282652,0.00032784681930942176,1.6044235034330465,0.03208847006866093,0.9620657754407484,0.00032068859181358286
0.02,0.6000000000000001,40,0,0.0001,0,0.9577124538912966,0.9577124538912966,4.652364689541773,0.001550788229847258,1.98341347999343,0.0396682695998686,1.9468592880555682,0.0006489530960185229,1.0020121628805627,0.020040243257611254,4.623982580141436,0.0015413275267138122,0.09767066015084243,0.0019534132030168488,4.326353973456818,0.001442117991152273,1.000970879360768,0.020019417587215357,1.7428149339882786,0.0005809383113294262,1.985569503387603,0.03971139006775206,2.2414195585887984,0.0007471398528629329
0.02,1.8973665961010278,40,0,0.001,0,0.9681341346556175,0.9681341346556176,4.113871694973212,0.001371290564991071,1.9509657605321051,0.03901931521064211,1.9545301284340377,0.0006515100428113459,1.006291329957306,0.02012582659914612,1.7290074213070332,0.0005763358071023445,0.17119732526511333,0.003423946505302267,0.9834017365197945,0.00032780057883993155,1.0051119008789617,0.020102238017579235,1.7136657405500944,0.0005712219135166982,1.9591917022303327,0.03918383404460665,2.0373752045215086,0.0006791250681738363
0.02,6.0,40,0,0.01,0,0.9670202539794703,0.9670202539794703,3.500204464695649,0.0011667348215652165,1.8521301417999019,0.037042602835998036,1.5817272860404183,0.0005272424286801395,1.0243273731984606,0.02048654746396921,1.636957336765399,0.0005456524455884664,0.3080885476880812,0.006161770953761624,2.2475562308915737,0.0007491854102971914,1.0229603778016498,0.020459207556032998,1.6185473198570721,0.0005395157732856908,1.8919530372926991,0.037839060745853983,1.7382124297611967,0.0005794041432537323
0.02,26.832815729997478,40,0,0.2,0,0.9595658646071911,0.9595658646071911,2.6502753507612242,0.0008834251169204082,1.3609503134668264,0.02721900626933653,1.2227319563280439,0.0004075773187760147,1.1379317670936542,0.022758635341873085,1.3960929488814555,0.00046536431629381857,0.5635609247745488,0.011271218495490976,0.6382139194886653,0.00021273797316288847,1.1370761187814593,0.022741522375629188,1.3960929488814555,0.00046536431629381857,1.6941869545430959,0.03388373909086192,1.1782410821329208,0.0003927470273776403
0.02,37.94733192202055,40,0,0.4,0,0.933696947123921,0.933696947123921,2.4692435178293435,0.0008230811726097813,1.0850084146046626,0.02170016829209325,1.138352712164879,0.0003794509040549597,1.1979595228072448,0.023959190456144898,1.0309609468663057,0.00034365364895543526,0.6833595176493996,0.013667190352987992,0.6903756340622582,0.0002301252113540861,1.1970587376517465,0.023941174753034932,1.0309609468663057,0.00034365364895543526,1.6367974935647513,0.03273594987129503,1.041700123396163,0.0003472333744653877
0.02,46.475800154489,40,0,0.6,0,0.9111955326649437,0.9111955326649436,2.384864273666179,0.0007949547578887264,0.8768339484424716,0.017536678968849435,1.0861909975912862,0.0003620636658637621,1.243535626142508,0.02487071252285016,0.9956750811253458,0.0003318916937084486,0.7463279168929615,0.014926558337859231,0.6857731298351765,0.00022859104327839218,1.2426005708163168,0.024852011416326338,0.9956750811253458,0.0003318916937084486,1.6037742798661951,0.032075485597323906,0.958855047308692,0.0003196183491028974
0.02,0.6000000000000001,60,0,0.0001,0,0.9820478509227714,0.9820478509227715,4.6768957763916355,0.001558965258797212,1.9836545691543286,0.03967309138308657,2.04192456515638,0.0006806415217187934,1.0016473361797213,0.020032946723594427,1.7879413372243673,0.0005959804457414559,0.11583056896079712,0.0023166113792159426,2.6437726102229977,0.0008812575367409994,1.0012036124050168,0.020024072248100336,1.6630452944459186,0.000554348431481973,1.9854804930057957,0.039709609860115916,2.285849051388115,0.0007619496837960384
0.02,1.8973665961010278,60,0,0.001,0,0.9694291624313709,0.969429162431371,4.114444469651104,0.0013714814898837017,1.950808451301726,0.039016169026034525,1.7762061385740433,0.0005920687128580145,1.006084491193044,0.02012168982386088,1.7125007744722842,0.0005708335914907615,0.16443895414369,0.0032887790828738,2.7275954577253123,0.0009091984859084376,1.0053865259789292,0.020107730519578586,1.7301035724477702,0.0005767011908159235,1.9592142684942742,0.03918428536988548,2.0402481082063337,0.0006800827027354446
0.02,6.0,60,0,0.01,0,0.971379712728151,0.971379712728151,3.4866113418587696,0.0011622037806195901,1.8520132788902424,0.03704026557780485,1.565810791343234,0.0005219369304477448,1.0245968691073473,0.020491937382146944,1.6353837547701549,0.0005451279182567183,0.256484162165141,0.005129683243302821,2.5029502264191095,0.0008343167421397033,1.023331082431167,0.02046662164862334,1.6261632415449003,0.0005420544138483002,1.8919508456424028,0.03783901691284806,1.734294714822886,0.0005780982382742955
0.02,26.832815729997478,60,0,0.2,0,0.9632704019261114,0.9632704019261115,2.653412237685764,0.0008844707458952547,1.3567805654767193,0.027135611309534388,1.2246518020088142,0.00040821726733627145,1.139034225390044,0.02278068450780088,1.4023562387137207,0.0004674520795712403,0.5501230910899251,0.011002461821798502,0.6990825481693025,0.0002330275160564342,1.1386503575551274,0.02277300715110255,1.4023562387137207,0.0004674520795712403,1.6939570637751147,0.033879141275502296,1.177711007407518,0.0003925703358025061
0.02,37.94733192202055,60,0,0.4,0,0.939549649917622,0.939549649917622,2.4547520891052788,0.0008182506963684263,1.0850754459746494,0.02170150891949299,1.1408289545064998,0.0003802763181688333,1.1993539885461135,0.023987079770922272,1.0352121666535834,0.0003450707222178612,0.6487864307452643,0.012975728614905287,0.556583707415368,0.00018552790247178936,1.1989497922466352,0.023978995844932707,1.0352121666535834,0.0003450707222178612,1.6366694418898797,0.0327333888377976,1.0427562229287919,0.00034758540764293067
0.02,0.6000000000000001,80,0,0.0001,0,0.988086096358442,0.988086096358442,4.625563686733268,0.001541854562244423,1.983307346085087,0.03966614692170174,2.215273793481196,0.0007384245978270655,1.0016689324668329,0.02003337864933666,1.7739646334402486,0.0005913215444800829,0.08738269867574484,0.001747653973514897,0.9797172452824989,0.00032657241509416636,1.0013125100714286,0.020026250201428574,1.7619636426851177,0.0005873212142283727,1.9854634701585119,0.03970926940317024,2.2665507539803915,0.0007555169179934639
0.02,1.8973665961010278,80,0,0.001,0,0.9683470854415184,0.9683470854415185,4.119885576278437,0.0013732951920928126,1.950690487219869,0.03901380974439738,1.9141580254433679,0.0006380526751477894,1.0062425669677895,0.02012485133935579,1.7205056746219385,0.0005735018915406462,0.1611359445044115,0.00322271889008823,2.554029032523753,0.000851343010841251,1.0056497240104723,0.020112994480209447,1.711232181765701,0.0005704107272552337,1.9592451773382233,0.03918490354676447,2.0418049271115777,0.000680601642370526
0.02,6.0,80,0,0.01,0,0.9719772299800158,0.9719772299800158,3.4854695649958387,0.0011618231883319464,1.8525041772265631,0.037050083544531265,1.555764801528779,0.0005185882671762598,1.0244273333475327,0.020488546666950654,1.6375897384955802,0.0005458632461651934,0.26446833662279146,0.005289366732455829,2.3767416690956837,0.0007922472230318946,1.0232392548960965,0.02046478509792193,1.626134247320228,0.0005420447491067428,1.89188997190838,0.0378377994381676,1.73632516243552,0.0005787750541451734s
0.02,26.832815729997478,80,0,0.2,0,0.9647482998255115,0.9647482998255116,2.651946207094025,0.0008839820690313418,1.3560316116979496,0.027120632233958993,1.2366475473582546,0.00041221584911941823,1.139343824429259,0.02278687648858518,1.405206917509865,0.0004684023058366217,0.5532005745814979,0.011064011491629958,1.1117281435889381,0.00037057604786297943,1.1389741686916663,0.02277948337383333,1.4073889158289796,0.00046912963860965993,1.6938729140239333,0.03387745828047867,1.1766425935826004,0.00039221419786086685
0.02,37.94733192202055,80,0,0.4,0,0.9427015968837563,0.9427015968837563,2.4468383650972436,0.000815612788365748,1.0825343325093089,0.021650686650186178,1.1324571276205277,0.0003774857092068426,1.2007143411161143,0.024014286822322286,1.0353582024199237,0.0003451194008066413,0.6440416129659232,0.012880832259318464,0.6289610154848114,0.0002096536718282705,1.200485766941163,0.024009715338823262,1.0353582024199237,0.0003451194008066413,1.6366765868841917,0.032733531737683834,1.0440861956963825,0.00034802873189879424
0.02,46.475800154489,80,0,0.6,0,0.3969509588729892,0.3969509588729892,1.6579547347280619,0.0005526515782426874,0.8703207801766768,0.017406415603533537,1.081725666701111,0.00036057522223370374,1.2473297882438878,0.024946595764877757,0.9993552301545312,0.00033311841005151046,0.7092970856249907,0.014185941712499815,0.6093230306127791,0.00020310767687092642,1.2458638002225877,0.024917276004451754,1.001537228473646,0.00033384574282454866,1.6039103751499924,0.03207820750299985,0.9546242646126799,0.0003182080882042267
0.02,0.6000000000000001,100,0,0.0001,0,0.9854709594405838,0.9854709594405838,4.629089734139825,0.0015430299113799418,1.9834441492093917,0.03966888298418784,2.206784832103971,0.0007355949440346571,1.0016641342397639,0.02003328268479528,1.7542513035797282,0.0005847504345265762,0.07018673511807923,0.0014037347023615845,0.588918849297093,0.00019630628309903105,1.0013957386466155,0.02002791477293231,1.646784360277339,0.0005489281200924465,1.985487828454143,0.03970975656908286,2.2700926314311967,0.000756697543810399
0.02,1.8973665961010278,100,0,0.001,0,0.9692218364197078,0.9692218364197078,4.0921458065126135,0.0013640486021708714,1.9508443775889006,0.03901688755177801,1.9050958130878093,0.0006350319376959365,1.0062277486694229,0.02012455497338846,1.7253329261092671,0.0005751109753697558,0.1591593353877629,0.003183186707755258,2.4221095075934853,0.0008073698358644952,1.0056577711317811,0.02011315542263562,1.6948513930998623,0.0005649504643666208,1.959252138331304,0.03918504276662608,2.0395271894369795,0.0006798423964789932
0.02,6.0,100,0,0.01,0,0.9722037451438972,0.9722037451438971,3.4872046129413468,0.0011624015376471158,1.8523050005509363,0.037046100011018726,1.5596384389812197,0.0005198794796604067,1.0245294099420386,0.02049058819884077,1.6401409492368277,0.0005467136497456093,0.269066227055466,0.00538132454110932,2.277908409125916,0.000759302803041972,1.0233366583111896,0.020466733166223793,1.6280264938100129,0.000542675497936671,1.891891003382716,0.03783782006765432,1.735884225997138,0.0005786280753323794
0.02,26.832815729997478,100,0,0.2,0,0.965504751604193,0.9655047516041931,2.655996655107958,0.0008853322183693194,1.3558008358875873,0.027116016717751747,1.2442718089992995,0.0004147572696664332,1.1396742631549648,0.022793485263099295,1.4041044628563073,0.0004680348209521025,0.543802869518714,0.010876057390374281,1.098507554992786,0.0003661691849975954,1.1392084846168402,0.022784169692336806,1.408403140588403,0.0004694677135294677,1.693839419865244,0.03387678839730488,1.1762745430552421,0.00039209151435174746
0.02,37.94733192202055,100,0,0.4,0,0.9441916219307981,0.9441916219307981,2.4434075018115955,0.0008144691672705319,1.0812279629785744,0.021624559259571487,1.1321153990800785,0.00037737179969335954,1.2013822427174716,0.024027644854349432,1.0340273890113525,0.0003446757963371175,0.6383247959125042,0.012766495918250085,0.6913055370979148,0.0002304351790326383,1.2012355058469537,0.024024710116939074,1.0340273890113525,0.0003446757963371175,1.6366304829516687,0.03273260965903337,1.0449694777839593,0.00034832315926131984
